"Town(s)","College(s)","Town Link(s)","College Link(s)"
"$883.6 million","University Of Louisville","","https://en.wikipedia.org/wiki/University_of_Louisville"
"Lynchburg","University Of Lynchburg","","https://en.wikipedia.org/wiki/University_of_Lynchburg"
"Lübeck","University Of Lübeck","https://en.wikipedia.org/wiki/L%C3%BCbeck","https://en.wikipedia.org/wiki/University_of_L%C3%BCbeck"
"Macerata","University Of Macerata","https://en.wikipedia.org/wiki/Macerata","https://en.wikipedia.org/wiki/University_of_Macerata"
"Bangor","University Of Maine","https://en.wikipedia.org/wiki/Bangor,_Maine","https://en.wikipedia.org/wiki/University_of_Maine"
"Augusta","University Of Maine At Augusta","https://en.wikipedia.org/wiki/Augusta,_Maine","https://en.wikipedia.org/wiki/University_of_Maine_at_Augusta"
"Farmington","University Of Maine At Farmington","https://en.wikipedia.org/wiki/Farmington,_Maine","https://en.wikipedia.org/wiki/University_of_Maine_at_Farmington"
"Fort Kent","University Of Maine At Fort Kent","https://en.wikipedia.org/wiki/Fort_Kent,_Maine","https://en.wikipedia.org/wiki/University_of_Maine_at_Fort_Kent"
"Machias","University Of Maine At Machias","https://en.wikipedia.org/wiki/Machias,_Maine","https://en.wikipedia.org/wiki/University_of_Maine_at_Machias"
"Presque Isle","University Of Maine At Presque Isle","https://en.wikipedia.org/wiki/Presque_Isle,_Maine","https://en.wikipedia.org/wiki/University_of_Maine_at_Presque_Isle"
"Portland","University Of Maine School Of Law","https://en.wikipedia.org/wiki/Portland,_Maine","https://en.wikipedia.org/wiki/Maine_College_of_Art"
"James H. Page , Chancellor University of Maine – Susan J. Hunter , President University of Maine at Augusta – Rebecca Wyke, President University of Maine at Farmington – Kathryn Foster, President University of Maine at Presque Isle – Ray Rice, President","University Of Maine System","","https://en.wikipedia.org/wiki/University_of_Maine_System"
"Msida","University Of Malta","https://en.wikipedia.org/wiki/Msida","https://en.wikipedia.org/wiki/University_of_Malta"
"Arlington","University Of Management And Technology","","https://en.wikipedia.org/wiki/University_of_Management_and_Technology_(United_States)"
"Managua , León","University Of Managua Universidad De Managua","",""
"Winnipeg","University Of Manitoba","","https://en.wikipedia.org/wiki/University_of_Manitoba"
"Mannheim","University Of Mannheim","https://en.wikipedia.org/wiki/Mannheim","https://en.wikipedia.org/wiki/University_of_Mannheim"
"Marburg","University Of Marburg","https://en.wikipedia.org/wiki/Marburg","https://en.wikipedia.org/wiki/University_of_Marburg"
"Bismarck","University Of Mary","https://en.wikipedia.org/wiki/Bismarck,_North_Dakota","https://en.wikipedia.org/wiki/University_of_Mary"
"Belton","University Of Mary Hardin-Baylor","https://en.wikipedia.org/wiki/Belton,_Texas","https://en.wikipedia.org/wiki/University_of_Mary_Hardin-Baylor"
"Belton","University Of Mary Hardin–Baylor","","https://en.wikipedia.org/wiki/University_of_Mary_Hardin%E2%80%93Baylor"
"Bismarck, North Dakota","University Of Mary School Of Engineering","",""
"Fredericksburg","University Of Mary Washington","https://en.wikipedia.org/wiki/Fredericksburg,_Virginia","https://en.wikipedia.org/wiki/University_of_Mary_Washington"
"Princess Anne","University Of Maryland Eastern Shore","https://en.wikipedia.org/wiki/Princess_Anne,_Maryland","https://en.wikipedia.org/wiki/University_of_Maryland_Eastern_Shore"
"Adelphi","University Of Maryland Global Campus","","https://en.wikipedia.org/wiki/University_of_Maryland_Global_Campus"
"Fort Belvoir","University Of Maryland Global Campus , Formerly Umuc","",""
"Baltimore","University Of Maryland, Baltimore","","https://en.wikipedia.org/wiki/University_of_Maryland,_Baltimore"
"Catonsville","University Of Maryland, Baltimore County","","https://en.wikipedia.org/wiki/University_of_Maryland,_Baltimore_County"
"Baltimore","University Of Maryland, Biotechnology Institute","","https://en.wikipedia.org/wiki/University_of_Maryland_Biotechnology_Institute"
"College Park","University Of Maryland, College Park","https://en.wikipedia.org/wiki/College_Park,_Maryland","https://en.wikipedia.org/wiki/University_of_Maryland,_College_Park"
"Cambridge","University Of Maryland, Environmental Science","","https://en.wikipedia.org/wiki/University_of_Maryland_Center_for_Environmental_Science"
"Baltimore","University Of Maryland-Baltimore County","","https://en.wikipedia.org/wiki/University_of_Maryland,_Baltimore_County"
"College Park","University Of Maryland-College Park","","https://en.wikipedia.org/wiki/University_of_Maryland,_College_Park"
"Marty Meehan , President University of Massachusetts Amherst – Javier Reyes , Chancellor University of Massachusetts Boston – Marcelo Suárez-Orozco , Chancellor University of Massachusetts Dartmouth – Mark A. Fuller, Chancellor University of Massachusetts Lowell – Jacqueline Moloney, Chancellor University of Massachusetts Medical School – Michael Collins, Chancellor","University Of Massachusetts","","https://en.wikipedia.org/wiki/University_of_Massachusetts"
"Amherst","University Of Massachusetts Amherst","https://en.wikipedia.org/wiki/Amherst,_Massachusetts","https://en.wikipedia.org/wiki/Amherst_College"
"Boston","University Of Massachusetts Boston","","https://en.wikipedia.org/wiki/University_of_Massachusetts_Boston"
"Worcester","University Of Massachusetts Chan Medical School","","https://en.wikipedia.org/wiki/UMass_Chan_Medical_School"
"Dartmouth","University Of Massachusetts Dartmouth","https://en.wikipedia.org/wiki/Dartmouth,_Massachusetts","https://en.wikipedia.org/wiki/University_of_Massachusetts_Dartmouth"
"Multiple locations","University Of Massachusetts Global","","https://en.wikipedia.org/wiki/University_of_Massachusetts_Global"
"Lowell","University Of Massachusetts Lowell","https://en.wikipedia.org/wiki/Lowell,_Massachusetts","https://en.wikipedia.org/wiki/University_of_Massachusetts_Lowell"
"Worcester","University Of Massachusetts Medical School","","https://en.wikipedia.org/wiki/University_of_Massachusetts_Medical_School"
"Amherst","University Of Massachusetts-Amherst","","https://en.wikipedia.org/wiki/University_of_Massachusetts_Amherst"
"Boston","University Of Massachusetts-Boston","","https://en.wikipedia.org/wiki/University_of_Massachusetts_Boston"
"Lowell","University Of Massachusetts-Lowell","","https://en.wikipedia.org/wiki/University_of_Massachusetts_Lowell"
"Managua","University Of Medical Sciences Universidad De Ciencias Médicas","",""
"New Brunswick , Newark , Camden , Stratford , Piscataway , and Scotch Plains","University Of Medicine And Dentistry Of New Jersey","","https://en.wikipedia.org/wiki/University_of_Medicine_and_Dentistry_of_New_Jersey"
"sold by Seton Hall University to the State of New Jersey in the 1960s","University Of Medicine And Dentistry Of New Jersey ( Newark, New Jersey )","",""
"Memphis","University Of Memphis","","https://en.wikipedia.org/wiki/University_of_Memphis"
"Coral Gables","University Of Miami","https://en.wikipedia.org/wiki/Coral_Gables,_Florida","https://en.wikipedia.org/wiki/University_of_Miami"
"Ann Arbor","University Of Michigan","https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan","https://en.wikipedia.org/wiki/Concordia_University_Ann_Arbor"
"Ann Arbor","University Of Michigan-Ann Arbor","","https://en.wikipedia.org/wiki/University_of_Michigan"
"Dearborn","University Of Michigan-Dearborn","","https://en.wikipedia.org/wiki/University_of_Michigan%E2%80%93Dearborn"
"Flint","University Of Michigan-Flint","https://en.wikipedia.org/wiki/Flint,_Michigan","https://en.wikipedia.org/wiki/Kettering_University"
"Dearborn","University Of Michigan–Dearborn","https://en.wikipedia.org/wiki/Dearborn,_Michigan","https://en.wikipedia.org/wiki/University_of_Michigan%E2%80%93Dearborn"
"Flint","University Of Michigan–Flint","","https://en.wikipedia.org/wiki/University_of_Michigan%E2%80%93Flint"
"Eric Kaler , President University of Minnesota Crookston – Mary Holz-Clause, Chancellor University of Minnesota Duluth – Lendley C. Black , Chancellor University of Minnesota Morris – Michelle Behr, Chancellor University of Minnesota Rochester – Stephen Lehmkuhle, Chancellor","University Of Minnesota","","https://en.wikipedia.org/wiki/University_of_Minnesota"
"Crookston","University Of Minnesota Crookston","https://en.wikipedia.org/wiki/Crookston,_Minnesota","https://en.wikipedia.org/wiki/University_of_Minnesota_Crookston"
"Duluth","University Of Minnesota Duluth","https://en.wikipedia.org/wiki/Duluth,_Minnesota","https://en.wikipedia.org/wiki/University_of_Minnesota_Duluth"
"Morris","University Of Minnesota Morris","https://en.wikipedia.org/wiki/Morris,_Minnesota","https://en.wikipedia.org/wiki/University_of_Minnesota_Morris"
"Rochester","University Of Minnesota Rochester","","https://en.wikipedia.org/wiki/University_of_Minnesota_Rochester"
"Waseca","University Of Minnesota Waseca","","https://en.wikipedia.org/wiki/University_of_Minnesota_Waseca"
"Minneapolis , St. Paul","University Of Minnesota, Twin Cities","","https://en.wikipedia.org/wiki/University_of_Minnesota"
"Minneapolis","University Of Minnesota-Twin Cities","","https://en.wikipedia.org/wiki/University_of_Minnesota"
"Oxford","University Of Mississippi","https://en.wikipedia.org/wiki/Oxford,_Mississippi","https://en.wikipedia.org/wiki/University_of_Mississippi"
"Columbia","University Of Missouri","https://en.wikipedia.org/wiki/Columbia,_Missouri","https://en.wikipedia.org/wiki/University_of_Missouri"
"Columbia","University Of Missouri-Columbia","","https://en.wikipedia.org/wiki/University_of_Missouri"
"Kansas City","University Of Missouri-Kansas City","","https://en.wikipedia.org/wiki/University_of_Missouri%E2%80%93Kansas_City"
"Kansas City","University Of Missouri–Kansas City","","https://en.wikipedia.org/wiki/University_of_Missouri%E2%80%93Kansas_City"
"St. Louis","University Of Missouri–St. Louis","","https://en.wikipedia.org/wiki/University_of_Missouri%E2%80%93St._Louis"
"Eight Mile, Alabama","University Of Mobile","","https://en.wikipedia.org/wiki/University_of_Mobile"
"Missoula","University Of Montana","https://en.wikipedia.org/wiki/Missoula,_Montana","https://en.wikipedia.org/wiki/University_of_Montana"
"Dillon","University Of Montana Western","https://en.wikipedia.org/wiki/Dillon,_Montana","https://en.wikipedia.org/wiki/University_of_Montana_Western"
"Montevallo","University Of Montevallo","https://en.wikipedia.org/wiki/Montevallo,_Alabama","https://en.wikipedia.org/wiki/University_of_Montevallo"
"Montpellier","University Of Montpellier","https://en.wikipedia.org/wiki/Montpellier","https://en.wikipedia.org/wiki/University_of_Montpellier"
"Mount Olive","University Of Mount Olive","https://en.wikipedia.org/wiki/Mount_Olive,_North_Carolina","https://en.wikipedia.org/wiki/University_of_Mount_Olive"
"Riverdale","University Of Mount Saint Vincent","","https://en.wikipedia.org/wiki/University_of_Mount_Saint_Vincent"
"Alliance","University Of Mount Union","https://en.wikipedia.org/wiki/Alliance,_Ohio","https://en.wikipedia.org/wiki/University_of_Mount_Union"
"Mbombela","University Of Mpumalanga","https://en.wikipedia.org/wiki/Mbombela","https://en.wikipedia.org/wiki/University_of_Mpumalanga"
"Münster","University Of Münster","https://en.wikipedia.org/wiki/M%C3%BCnster","https://en.wikipedia.org/wiki/University_of_M%C3%BCnster"
"Kearney","University Of Nebraska At Kearney","https://en.wikipedia.org/wiki/Kearney,_Nebraska","https://en.wikipedia.org/wiki/University_of_Nebraska_at_Kearney"
"Omaha","University Of Nebraska Medical Center","","https://en.wikipedia.org/wiki/University_of_Nebraska_Medical_Center"
"Omaha","University Of Nebraska Omaha","","https://en.wikipedia.org/wiki/University_of_Nebraska_Omaha"
"Jeffrey P. Gold , President University of Nebraska at Kearney – Douglas Kristensen, Chancellor University of Nebraska–Lincoln – Rodney Bennett, Chancellor University of Nebraska Medical Center – H. Dele Davies, Interim Chancellor University of Nebraska Omaha – Joanne Li, Chancellor","University Of Nebraska System","","https://en.wikipedia.org/wiki/University_of_Nebraska_system"
"Lincoln","University Of Nebraska-Lincoln","","https://en.wikipedia.org/wiki/University_of_Nebraska%E2%80%93Lincoln"
"Lincoln","University Of Nebraska–Lincoln","https://en.wikipedia.org/wiki/Lincoln,_Nebraska","https://en.wikipedia.org/wiki/University_of_Nebraska%E2%80%93Lincoln"
"Reno","University Of Nevada","https://en.wikipedia.org/wiki/Reno,_Nevada","https://en.wikipedia.org/wiki/University_of_Nevada"
"Paradise","University Of Nevada, Las Vegas","","https://en.wikipedia.org/wiki/University_of_Nevada,_Las_Vegas"
"Incline Village","University Of Nevada, Reno","https://en.wikipedia.org/wiki/Incline_Village,_Nevada","https://en.wikipedia.org/wiki/University_of_Nevada,_Reno"
"Las Vegas","University Of Nevada-Las Vegas","","https://en.wikipedia.org/wiki/University_of_Nevada,_Las_Vegas"
"Reno","University Of Nevada-Reno","","https://en.wikipedia.org/wiki/University_of_Nevada,_Reno"
"Fredericton , Saint John","University Of New Brunswick","","https://en.wikipedia.org/wiki/University_of_New_Brunswick"
"Biddeford","University Of New England","https://en.wikipedia.org/wiki/Biddeford,_Maine","https://en.wikipedia.org/wiki/University_of_New_England_(United_States)"
"Durham","University Of New Hampshire","https://en.wikipedia.org/wiki/Durham,_New_Hampshire","https://en.wikipedia.org/wiki/University_of_New_Hampshire"
"Manchester","University Of New Hampshire At Manchester","","https://en.wikipedia.org/wiki/University_of_New_Hampshire_at_Manchester"
"Concord","University Of New Hampshire Franklin Pierce School Of Law","","https://en.wikipedia.org/wiki/University_of_New_Hampshire_School_of_Law"
"Durham","University Of New Hampshire-Main Campus","","https://en.wikipedia.org/wiki/University_of_New_Hampshire"
"West Haven","University Of New Haven","https://en.wikipedia.org/wiki/West_Haven,_Connecticut","https://en.wikipedia.org/wiki/University_of_New_Haven"
"Albuquerque (Main) Gallup Health Sciences Rio Rancho Los Alamos Taos Los Lunas (Valencia)","University Of New Mexico","","https://en.wikipedia.org/wiki/University_of_New_Mexico"
"Albuquerque","University Of New Mexico-Main Campus","","https://en.wikipedia.org/wiki/University_of_New_Mexico"
"Dr. Kathy E. Johnson , President","University Of New Orleans","","https://en.wikipedia.org/wiki/University_of_New_Orleans"
"-","University Of Newark","",""
"Newcastle","University Of Newcastle","https://en.wikipedia.org/wiki/Newcastle,_New_South_Wales","https://en.wikipedia.org/wiki/University_of_Newcastle_(Australia)"
"Niagara Falls","University Of Niagara Falls Canada","","https://en.wikipedia.org/wiki/University_of_Niagara_Falls_Canada"
"Florence","University Of North Alabama","","https://en.wikipedia.org/wiki/University_of_North_Alabama"
"Vienna","University Of North America","",""
"Margaret Spellings , President University of North Carolina at Asheville – Mary Grant, Chancellor University of North Carolina at Chapel Hill – Carol Folt , Chancellor University of North Carolina at Charlotte – Sharon Gaber , Chancellor University of North Carolina at Greensboro – Franklin Gilliam, Chancellor University of North Carolina at Pembroke – Robin Cummings, Chancellor University of North Carolina at Wilmington – Jose V. Sartarelli, Chancellor","University Of North Carolina","","https://en.wikipedia.org/wiki/University_of_North_Carolina"
